dataset,model,family,window_type,n_folds_scored,n_folds_failed,n_points,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,coverage,coverage_error,calibrated,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,fit_seconds_total,fit_seconds_per_fold,series
retail,seasonal_naive,baseline,expanding,6,0,84,44.464285714285715,53.69900681887267,7.765557103353639,0.5015540822108365,,7.7035036988746395,7.911907915430197,1.0,0.09999999999999998,False,422.8000000000001,73.84078009023433,11.31702380952381,9.8229761904762,10.570000000000006,0.0018875000532716513,0.0003145833422119419,Riyadh/Grocery
retail,sarima,classical,expanding,6,0,84,44.657138119301486,53.380710604394125,7.799238210327722,0.5037294440646481,,8.24928583573133,7.827731575547073,1.0,0.09999999999999998,False,260.73757186328123,45.53705228291915,6.608238615067209,6.42863997809686,6.518439296582034,123.55702300020494,20.59283716670082,Riyadh/Grocery
retail,ets,classical,expanding,6,0,84,37.22243899803881,46.45000950460827,6.500789811911886,0.4198665497354906,,6.334710540236134,6.556900260505667,1.0,0.09999999999999998,False,309.5639477733347,54.064435646631004,7.501610132317431,7.9765872563493145,7.739098694333373,3.585508300107904,0.5975847166846506,Riyadh/Grocery
retail,prophet,gam,expanding,6,0,84,30.8942808440924,39.89465299159968,5.395595548378821,0.34848536135022695,,5.481747760323912,5.506856649918378,1.0,0.09999999999999998,False,425.68263603503993,74.34422402009139,10.789520933523633,10.494610868228378,10.642065900876005,3.774983000010252,0.629163833335042,Riyadh/Grocery
retail,sktime_theta,gam,expanding,6,0,84,39.035012803871886,48.77382375713194,6.817350511518885,0.44031225749892217,,6.617129987283427,6.882407598126298,1.0,0.09999999999999998,False,328.521697174952,57.37535098383676,7.7748074636870985,8.65127739506051,8.213042429373804,10.765500100096688,1.7942500166827813,Riyadh/Grocery
retail,lgbm_quantile,ml,expanding,6,0,84,32.921525995714354,40.844090972983345,5.749647968979367,0.3713525471175099,,5.881817861922331,5.973393360503762,0.7142857142857143,-0.18571428571428572,False,93.42179088344554,16.315841807616742,3.886671796909097,7.258727844684232,5.5726998207966645,23.32245839992538,3.8870763999875635,Riyadh/Grocery
retail,lgbm_conformal,ml,expanding,6,0,84,32.006057330911666,41.21728709835724,5.589764051389025,0.36102612359373404,,5.7632149635911745,5.816736756267654,0.9761904761904762,0.07619047619047614,False,228.10780316158093,39.83835886972742,5.219494651599055,6.2395922453725525,5.729543448485804,14.158340400084853,2.359723400014142,Riyadh/Grocery
retail,seasonal_naive,baseline,rolling,6,0,84,44.464285714285715,53.69900681887267,7.765557103353639,0.45020346144535656,,7.7035036988746395,7.911907915430197,1.0,0.09999999999999998,False,487.8666666666668,85.20448260806289,12.943690476190485,11.449642857142871,12.196666666666678,0.00206110009457916,0.00034351668242986005,Riyadh/Grocery
retail,sarima,classical,rolling,6,0,84,82.77154677557417,96.46984023858514,14.455807907246253,0.8380666926035281,,15.273330748257285,13.959058179913436,1.0,0.09999999999999998,False,361.8534424836758,63.19664255281777,7.024812754593005,11.067859369590796,9.0463360620919,55.42784099990968,9.237973499984946,Riyadh/Grocery
retail,ets,classical,rolling,6,0,84,39.039421745290625,48.922967905869235,6.818120520207939,0.3952764003787461,,6.607537093665414,6.852087425570949,1.0,0.09999999999999998,False,312.2089172721843,54.52637181292695,7.583415023179792,8.027030840429434,7.805222931804613,3.014475499978289,0.5024125833297148,Riyadh/Grocery
