dataset,window_type,model,family,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,wape_mean,wape_std,wape_min,wape_max,mase_mean,mase_std,mase_min,mase_max,coverage_mean,coverage_std,coverage_min,coverage_max,interval_width_mean,interval_width_std,interval_width_min,interval_width_max,pinball_mean_mean,pinball_mean_std,pinball_mean_min,pinball_mean_max,fit_seconds_mean,fit_seconds_std,fit_seconds_min,fit_seconds_max,n_folds,n_failed
economic,expanding,ets,classical,3.5118735993333416,1.9214052540927506,1.0870442458957494,5.516259888580042,4.1095752298657695,2.2927812335167252,1.463089086341144,6.774761237491973,2.3892214871042783,1.3237467923684698,0.6856953369331571,3.727360945029967,0.4341140875210438,0.251445573518374,0.1217570726785025,0.712682287458528,1.0,0.0,1.0,1.0,17.78426103243,0.904273801740979,16.614548338558638,18.79705197511998,0.4446065258107503,0.022606845043524372,0.4153637084639663,0.46992629937799973,0.572432016643385,0.12499139400223097,0.45475070003885776,0.7948249999899417,6,0
economic,expanding,lgbm_conformal,ml,4.890001842904209,3.252134463147629,1.2102004516747324,8.562910336914237,5.372066188865699,3.4543503822832027,1.2751500369588629,8.706087558618213,3.3108378577821878,2.2141447925573714,0.763380892360979,6.0620228217863,0.6043462817150935,0.4177129992420858,0.1355514873533936,1.1270132856784982,0.8055555555555555,0.3234650361779919,0.16666666666666666,1.0,19.99544795774251,4.528410763444765,12.107093535104136,25.061776578793115,0.7401675204736472,0.4202013182864443,0.5095973513353323,1.5929129178182653,0.39975221662704524,0.04878034944785258,0.3504812999162823,0.4770629999693483,6,0
economic,expanding,lgbm_quantile,ml,4.317666067773431,2.714348368370984,1.6273872974639072,8.575933723301361,4.8209999602628875,2.7300916129403516,1.9079829423809513,8.686943880408503,2.925418352863231,1.8862538758542498,1.0389236351315043,6.071242591980009,0.5301110093906208,0.35113843564318226,0.193020709520832,1.1287273675624974,0.3611111111111111,0.37143365889881724,0.0,1.0,5.225144140063416,1.438748101010463,2.7132953537445936,6.98543407483002,1.50758714036394,1.2157969313307648,0.14137897973917107,3.4542508484468675,0.5433533166651614,0.07248175846445812,0.43772020004689693,0.6362551999045536,6,0
economic,expanding,prophet,gam,5.632196611503162,3.268118344866613,1.9067819620303699,10.722989482558058,6.236901660521551,3.214723173595653,2.351337695141988,10.812978035872977,3.7647987165733103,2.1561926520578587,1.2027767083529286,7.218923847150976,0.6908291659633558,0.4202255327406055,0.2135738180019349,1.385374298379982,0.47222222222222215,0.3714336588988173,0.0,1.0,12.33096842554302,2.097718697420826,9.850745293857608,14.740019491098096,1.0657502306767663,0.9371709101585763,0.34707904252663746,2.730251045787853,1.7473434000082004,0.7564170580243381,0.2946019000373781,2.440637799911201,6,0
economic,expanding,sarima,classical,3.4121924846367953,1.665719844880146,1.6099237938860635,5.5230707830159576,3.953714498877934,1.9252641964076551,1.954484290248888,6.742874957731195,2.327207016268171,1.1942592448008296,1.0277749389068873,3.80191701851679,0.42362499788295666,0.23194116354278976,0.19094940304291613,0.7135622321899711,1.0,0.0,1.0,1.0,19.198605660342725,0.4937629916244397,18.400347561029946,19.850370076153563,0.4799651415085682,0.012344074790610983,0.460008689025749,0.49625925190383935,1.0602980500164751,0.25575018890367773,0.8120829000836238,1.411297500017099,6,0
economic,expanding,seasonal_naive,baseline,9.654722222222222,5.753574291658154,2.6700000000000017,16.72333333333333,9.913949441168961,5.629540932160283,3.071525136909459,16.76823783228279,6.430171860512676,3.732610190544379,1.6877192612804344,11.258471343296977,1.1848706221548586,0.7278714062453066,0.296703296703297,2.1605986111360327,1.0,0.0,1.0,1.0,39.30766666666666,1.684008748987569,37.331999999999994,41.74000000000001,0.9826916666666669,0.042100218724689296,0.9333000000000002,1.0435000000000008,0.00016351666999980807,8.22469231867211e-06,0.00015860004350543022,0.0001799999736249447,6,0
economic,expanding,sktime_theta,gam,4.573228706109609,2.985680397934957,1.4312139694283512,9.5280975746655,5.305092393758209,3.116890550950374,1.7231893013990374,10.230004179888507,3.0326810849966717,1.9564845868421619,1.0132129619683206,6.414499511690791,0.5521963991880139,0.3784576388208065,0.18837020297186455,1.2309982690805792,0.8888888888888888,0.2018433569398328,0.5,1.0,19.72773149807912,0.36018918158972457,19.28836731912354,20.13768192988451,0.573158791423769,0.15983420980586566,0.4901367600428514,0.8965492362205604,0.06138523332386588,0.0006363801415920126,0.06051760003902018,0.0621652000118047,6,0
economic,rolling,ets,classical,3.5031344026923086,1.6390116779504411,1.5121330072573518,5.505059550652736,4.033545596597183,1.9958224021589899,1.5636463572954613,6.7656446346892585,2.38473117086942,1.1660943025970345,0.9538365671994148,3.7696867811370924,0.3711746714279945,0.19539569674680893,0.12738891894686083,0.6157848339060148,1.0,0.0,1.0,1.0,17.468688388115627,3.9368176650822604,12.283992422606682,20.79773101918917,0.4367172097028908,0.09842044162705654,0.30709981056516716,0.5199432754797295,0.5520891500054859,0.06590726507281414,0.4794146000640467,0.6729768998920918,6,0
economic,rolling,lgbm_conformal,ml,4.861053054473433,2.9197916799347685,1.6417388853565171,8.440023700431434,5.391159316156266,3.069248548856693,1.6990039839932298,9.19446941298217,3.282962991946776,1.9902504897731645,1.0355905036994821,5.681987141801155,0.5126068390107088,0.32585078009033536,0.13830750390001725,0.8884820001770047,0.75,0.2934469476943168,0.3333333333333333,1.0,18.712880064988564,5.2226099193382725,11.545110214529862,27.068026630327,0.6952790186257033,0.2689628489071597,0.4505667094972774,1.2000910686835462,0.28635093331104144,0.004770626894377451,0.2824842999689281,0.29551500000525266,6,0
economic,rolling,lgbm_quantile,ml,4.582863557741506,2.7601789432629578,1.6621734875432044,7.697563515573464,5.0593720068893,2.9172499664159157,1.8025633679984832,7.895855235084136,3.093032443363858,1.871279004927395,1.0484804219198296,5.4494095894470735,0.48316505647740676,0.3085188649033113,0.14002900714687297,0.8901704501590727,0.4166666666666667,0.3908679799852858,0.0,1.0,5.621841234487735,3.033035795971611,2.1107214743137823,9.914488111846874,1.5661055546667149,1.3225416785678492,0.14218393476625318,3.378924994999795,0.4609305000049062,0.0624086673961208,0.37081360002048314,0.5130908999126405,6,0
