dataset,series,window_type,fold,model,family,train_size,test_start_date,test_end_date,horizon,fit_seconds,error,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,actual_sum,actual_mean,all_zero_window,coverage,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,crossed_bounds_repaired,interval,order,seasonal_order,aic,bic,ljung_box_p,residuals_white_noise,lambda,ets_config,sp,n_train_rows,margin_h1,margin_hmax
retail,Riyadh/Grocery,expanding,0,seasonal_naive,baseline,1012,2025-10-09,2025-10-22,14,0.0003229000139981508,,34.714285714285715,40.76938627380669,6.663010693720866,0.3771864116207054,,6.689419120537665,6.602195286162018,7294.0,521.0,False,1.0,445.60000000000025,85.52783109404996,10.740000000000006,11.540000000000015,11.140000000000011,0,conformal(in-sample seasonal-naive residuals),,,,,,,,,,,,
retail,Riyadh/Grocery,expanding,1,seasonal_naive,baseline,1026,2025-10-23,2025-11-05,14,0.0003119999310001731,,36.142857142857146,41.59498596156581,6.757478632478632,0.3960296722321304,,6.750631059900848,6.961254697976528,7488.0,534.8571428571429,False,1.0,437.20000000000033,81.74145299145304,11.708571428571434,10.151428571428585,10.93000000000001,0,conformal(in-sample seasonal-naive residuals),,,,,,,,,,,,
retail,Riyadh/Grocery,expanding,2,seasonal_naive,baseline,1040,2025-11-06,2025-11-19,14,0.00033840001560747623,,35.714285714285715,42.945147738547995,6.507027589796981,0.3942597610778215,,6.299517808060105,6.409638784087917,7684.0,548.8571428571429,False,1.0,423.60000000000025,77.17855283706407,10.954285714285717,10.225714285714298,10.590000000000007,0,conformal(in-sample seasonal-naive residuals),,,,,,,,,,,,
retail,Riyadh/Grocery,expanding,3,seasonal_naive,baseline,1054,2025-11-20,2025-12-03,14,0.0003063000040128827,,40.285714285714285,48.133742248625786,6.985385187020064,0.44878590048563977,,7.215650990147362,7.568555834190851,8074.0,576.7142857142857,False,1.0,422.0,73.17314837750806,12.021428571428572,9.078571428571435,10.550000000000004,0,conformal(in-sample seasonal-naive residuals),,,,,,,,,,,,
retail,Riyadh/Grocery,expanding,4,seasonal_naive,baseline,1068,2025-12-04,2025-12-17,14,0.0003106000367552042,,58.714285714285715,70.18546858146635,9.620786516853933,0.6596551896275522,,9.328743887198552,9.597659076521854,8544.0,610.2857142857143,False,1.0,414.0,67.83707865168539,11.457142857142857,9.242857142857149,10.350000000000003,0,conformal(in-sample seasonal-naive residuals),,,,,,,,,,,,
retail,Riyadh/Grocery,expanding,5,seasonal_naive,baseline,1082,2025-12-18,2025-12-31,14,0.0002973000518977642,,61.214285714285715,69.44113642914716,9.50848773993121,0.690492929244477,,9.9370593274033,10.332143813642016,9013.0,643.7857142857143,False,1.0,394.40000000000003,61.26262065904804,11.02071428571429,8.699285714285724,9.860000000000007,0,conformal(in-sample seasonal-naive residuals),,,,,,,,,,,,
retail,Riyadh/Grocery,expanding,0,sarima,classical,1012,2025-10-09,2025-10-22,14,20.70358179998584,,40.550683884290045,47.73688892919152,7.7832406687696825,0.44060151687887444,,8.346687578271556,7.857233224116874,7294.0,521.0,False,1.0,237.77760515417341,45.638695806943076,5.322791528127157,6.56608872958152,5.944440128854339,0,analytic (state-space),"(1, 1, 2)","(0, 1, 1, 7)",-8481.345925526655,-8456.837239493372,0.9999815225459437,True,-0.5375,,,,,
retail,Riyadh/Grocery,expanding,1,sarima,classical,1026,2025-10-23,2025-11-05,14,15.34984160005115,,47.57578807677492,57.767426726866496,8.89504584768762,0.521304214654598,,9.18001231365785,8.59138648706398,7488.0,534.8571428571429,False,1.0,233.52182172097582,43.660597009797826,6.020891123451656,5.655199962597139,5.838045543024398,0,analytic (state-space),"(1, 1, 2)","(1, 1, 1, 7)",-8604.532048661047,-8575.037707969259,0.5347319765226319,True,-0.5375,,,,,
retail,Riyadh/Grocery,expanding,2,sarima,classical,1040,2025-11-06,2025-11-19,14,23.213687000097707,,76.46122971548964,78.9363787693089,13.930989276637884,0.8440764124616703,,14.382537326319348,13.338848138835816,7684.0,548.8571428571429,False,1.0,230.22499709183688,41.94625142225034,6.631698909393416,4.8795509451984325,5.755624927295925,0,analytic (state-space),"(2, 1, 2)","(1, 1, 1, 7)",-8732.627822640048,-8698.121205244703,0.985599413321674,True,-0.5375,,,,,
retail,Riyadh/Grocery,expanding,3,sarima,classical,1054,2025-11-20,2025-12-03,14,21.735212300089188,,24.59547712775528,28.65011327586381,4.264759472238964,0.27399547324317475,,4.387823993186863,4.340269007096299,8074.0,576.7142857142857,False,1.0,256.98094346659025,44.55948982576497,7.419811663187874,5.429235510141644,6.424523586664758,0,analytic (state-space),"(1, 1, 2)","(1, 1, 1, 7)",-8690.546207155034,-8660.887472618117,0.9816055537439394,True,-0.5249999999999999,,,,,
